time,sine,cosine,ramp,noise
2.600,0.5155,-0.8569,0.7800,0.3994
2.650,0.4720,-0.8816,0.7950,0.3982
2.700,0.4274,-0.9041,0.8100,0.3880
2.750,0.3817,-0.9243,0.8250,0.3690
2.800,0.3350,-0.9422,0.8400,0.5418
2.850,0.2875,-0.9578,0.8550,0.3070
2.900,0.2392,-0.9710,0.8700,0.2652
2.950,0.1904,-0.9817,0.8850,0.2175
3.000,0.1411,-0.9900,0.9000,0.1648
3.050,0.0915,-0.9958,0.9150,0.1085
3.100,0.0416,-0.9991,0.9300,0.0498
3.150,-0.0084,-1.0000,0.9450,0.1899
3.200,-0.0584,-0.9983,0.9600,-0.0697
3.250,-0.1082,-0.9941,0.9750,-0.1278
3.300,-0.1577,-0.9875,0.9900,-0.1830
3.350,-0.2069,-0.9784,1.0050,-0.2341
3.400,-0.2555,-0.9668,1.0200,-0.2799
3.450,-0.3035,-0.9528,1.0350,-0.3195
3.500,-0.3508,-0.9365,1.0500,-0.1519
3.550,-0.3971,-0.9178,1.0650,-0.3764
3.600,-0.4425,-0.8968,1.0800,-0.3924
3.650,-0.4868,-0.8735,1.0950,-0.3996
3.700,-0.5298,-0.8481,1.1100,-0.3978
3.750,-0.5716,-0.8206,1.1250,-0.3871
3.800,-0.6119,-0.7910,1.1400,-0.3677
3.850,-0.6506,-0.7594,1.1550,-0.1401
3.900,-0.6878,-0.7259,1.1700,-0.3048
3.950,-0.7232,-0.6907,1.1850,-0.2627
4.000,-0.7568,-0.6536,1.2000,-0.2146
4.050,-0.7885,-0.6150,1.2150,-0.1618
4.100,-0.8183,-0.5748,1.2300,-0.1053
4.150,-0.8460,-0.5332,1.2450,-0.0464
4.200,-0.8716,-0.4903,1.2600,0.2134
4.250,-0.8950,-0.4461,1.2750,0.0730
4.300,-0.9162,-0.4008,1.2900,0.1310
4.350,-0.9351,-0.3545,1.3050,0.1860
4.400,-0.9516,-0.3073,1.3200,0.2368
4.450,-0.9658,-0.2594,1.3350,0.2823
4.500,-0.9775,-0.2108,1.3500,0.3215
4.550,-0.9868,-0.1617,1.3650,0.5535
4.600,-0.9937,-0.1122,1.3800,0.3775
4.650,-0.9981,-0.0623,1.3950,0.3930
4.700,-0.9999,-0.0124,1.4100,0.3997
4.750,-0.9993,0.0376,1.4250,0.3975
4.800,-0.9962,0.0875,1.4400,0.3863
4.850,-0.9905,0.1372,1.4550,0.3664
4.900,-0.9825,0.1865,1.4700,0.5383
4.950,-0.9719,0.2354,1.4850,0.3026
5.000,-0.9589,0.2837,1.5000,0.2601
5.050,-0.9435,0.3312,1.5150,0.2118
5.100,-0.9258,0.3780,1.5300,0.1587
5.150,-0.9058,0.4238,1.5450,0.1020
5.200,-0.8835,0.4685,1.5600,0.0431
5.250,-0.8589,0.5121,1.5750,0.1832
5.300,-0.8323,0.5544,1.5900,-0.0763
5.350,-0.8035,0.5953,1.6050,-0.1342
5.400,-0.7728,0.6347,1.6200,-0.1890
5.450,-0.7401,0.6725,1.6350,-0.2395
5.500,-0.7055,0.7087,1.6500,-0.2847
5.550,-0.6692,0.7430,1.6650,-0.3235
5.600,-0.6313,0.7756,1.6800,-0.1550
5.650,-0.5917,0.8061,1.6950,-0.3786
5.700,-0.5507,0.8347,1.7100,-0.3936
5.750,-0.5083,0.8612,1.7250,-0.3998
5.800,-0.4646,0.8855,1.7400,-0.3971
5.850,-0.4198,0.9076,1.7550,-0.3854
5.900,-0.3739,0.9275,1.7700,-0.3650
5.950,-0.3271,0.9450,1.7850,-0.1365
6.000,-0.2794,0.9602,1.8000,-0.3004
6.050,-0.2311,0.9729,1.8150,-0.2576
6.100,-0.1822,0.9833,1.8300,-0.2089
6.150,-0.1328,0.9911,1.8450,-0.1556
6.200,-0.0831,0.9965,1.8600,-0.0988
6.250,-0.0332,0.9994,1.8750,-0.0398
6.300,0.0168,0.9999,1.8900,0.2202
6.350,0.0668,0.9978,1.9050,0.0796
6.400,0.1165,0.9932,1.9200,0.1373
6.450,0.1660,0.9861,1.9350,0.1919
6.500,0.2151,0.9766,1.9500,0.2422
6.550,0.2637,0.9646,1.9650,0.2871
6.600,0.3115,0.9502,1.9800,0.3255
6.650,0.3586,0.9335,1.9950,0.5566
6.700,0.4048,0.9144,2.0100,0.3796
6.750,0.4500,0.8930,2.0250,0.3942
6.800,0.4941,0.8694,2.0400,0.3999
6.850,0.5369,0.8436,2.0550,0.3966
6.900,0.5784,0.8157,2.0700,0.3845
6.950,0.6185,0.7858,2.0850,0.3636
7.000,0.6570,0.7539,2.1000,0.5347
7.050,0.6938,0.7201,2.1150,0.2982
7.100,0.7290,0.6845,2.1300,0.2550
7.150,0.7623,0.6473,2.1450,0.2060
7.200,0.7937,0.6084,2.1600,0.1525
7.250,0.8231,0.5679,2.1750,0.0955
7.300,0.8504,0.5261,2.1900,0.0364
7.350,0.8757,0.4829,2.2050,0.1765
7.400,0.8987,0.4385,2.2200,-0.0829
7.450,0.9195,0.3931,2.2350,-0.1405
7.500,0.9380,0.3466,2.2500,-0.1949
7.550,0.9542,0.2993,2.2650,-0.2449
7.600,0.9679,0.2513,2.2800,-0.2894
7.650,0.9793,0.2026,2.2950,-0.3274
7.700,0.9882,0.1534,2.3100,-0.1581
7.750,0.9946,0.1038,2.3250,-0.3807
7.800,0.9985,0.0540,2.3400,-0.3948
7.850,1.0000,0.0040,2.3550,-0.4000
7.900,0.9989,-0.0460,2.3700,-0.3962
7.950,0.9954,-0.0959,2.3850,-0.3835
8.000,0.9894,-0.1455,2.4000,-0.3622
8.050,0.9808,-0.1948,2.4150,-0.1328
8.100,0.9699,-0.2435,2.4300,-0.2959
8.150,0.9565,-0.2917,2.4450,-0.2524
8.200,0.9407,-0.3392,2.4600,-0.2032
8.250,0.9226,-0.3857,2.4750,-0.1494
8.300,0.9022,-0.4314,2.4900,-0.0923
8.350,0.8795,-0.4759,2.5050,-0.0331
8.400,0.8546,-0.5193,2.5200,0.2269
8.450,0.8276,-0.5614,2.5350,0.0862
8.500,0.7985,-0.6020,2.5500,0.1436
8.550,0.7674,-0.6412,2.5650,0.1978
8.600,0.7344,-0.6787,2.5800,0.2475
8.650,0.6996,-0.7146,2.5950,0.2917
8.700,0.6630,-0.7486,2.6100,0.3293
8.750,0.6247,-0.7808,2.6250,0.5596
8.800,0.5849,-0.8111,2.6400,0.3817
8.850,0.5436,-0.8393,2.6550,0.3953
8.900,0.5010,-0.8654,2.6700,0.4000
8.950,0.4571,-0.8894,2.6850,0.3957
9.000,0.4121,-0.9111,2.7000,0.3826
9.050,0.3661,-0.9306,2.7150,0.3608
9.100,0.3191,-0.9477,2.7300,0.5309
9.150,0.2713,-0.9625,2.7450,0.2936
9.200,0.2229,-0.9748,2.7600,0.2498
9.250,0.1739,-0.9848,2.7750,0.2003
9.300,0.1245,-0.9922,2.7900,0.1463
9.350,0.0747,-0.9972,2.8050,0.0890
9.400,0.0248,-0.9997,2.8200,0.0297
9.450,-0.0252,-0.9997,2.8350,0.1698
9.500,-0.0752,-0.9972,2.8500,-0.0895
9.550,-0.1249,-0.9922,2.8650,-0.1468
9.600,-0.1743,-0.9847,2.8800,-0.2007
9.650,-0.2233,-0.9747,2.8950,-0.2502
9.700,-0.2718,-0.9624,2.9100,-0.2940
9.750,-0.3195,-0.9476,2.9250,-0.3312
9.800,-0.3665,-0.9304,2.9400,-0.1610
9.850,-0.4125,-0.9109,2.9550,-0.3827
9.900,-0.4575,-0.8892,2.9700,-0.3958
9.950,-0.5014,-0.8652,2.9850,-0.4000
